product_id,manufacturer,product_family,variant_name,launch_or_public_year,target_segments,refrigerant,displacement_cc_rev,voltage_min_vdc,voltage_max_vdc,speed_min_rpm,speed_max_rpm,cooling_capacity_kw,heating_capacity_kw,electric_power_peak_kw,electric_power_continuous_kw,mass_kg,length_mm,diameter_mm,communication,application_summary,source_quality,confidence,primary_source_id,notes
VALEO_R744_8CC_800V,Valeo,R744 Electrical Compressor,R744 8cc 800V,2024,"Passenger_Car_BEV_xEV|Bus_Coach|MD_HD_Truck|Off_Highway",R744,8,800,800,,,,,,,,,,,"CO2 compressor for heat-pump thermal management",B,medium,VA03,
HANON_33CC,Hanon Systems,eCompressor,R1234yf/R290 eCompressor 33cc,2025,"Passenger_Car_BEV_xEV|LCV",R1234yf/R290,33,,800,,,,,,,,,,,"33cc modular family for EV/hybrid",B,medium,HA01,
HANON_45CC,Hanon Systems,eCompressor,R1234yf/R290 eCompressor 45cc,2025,"Passenger_Car_BEV_xEV|LCV",R1234yf/R290,45,,800,,,,,,,,,,,"45cc modular family for EV/hybrid; high-speed operation",B,medium,HA01,
HANON_R744,Hanon Systems,eCompressor,R744 eCompressor,2025,"Passenger_Car_BEV_xEV|LCV",R744,,,,,,,,,,,,,,"R744 eCompressor with >1 million units produced",B,medium,HA02,
DENSO_ESB34,DENSO,O.R.S.A. e-compressor,ESB34 family,2024,Off_Highway|Special_Purpose|LCV,,,,,,,,,,,,,,,"Family-level public entry for agricultural, construction and electrical applications",C,low,DE01,No public variant table found in current official page
TOYOTA_ESB20,Toyota Industries,Electric Compressor,ESB20,2025,Passenger_Car_BEV_xEV|Hybrid,,20,,,,,,,,,4.5,195,123,,Official current product-page entry,A,high,TY01,
TOYOTA_ESB27,Toyota Industries,Electric Compressor,ESB27,2025,Passenger_Car_BEV_xEV|Hybrid,,27,,,,,,,,,5.2,198,123,,Official current product-page entry,A,high,TY01,
TOYOTA_ESB34,Toyota Industries,Electric Compressor,ESB34,2025,Passenger_Car_BEV_xEV|Hybrid,,34,,,,,,,,,5.7,206,123,,Official current product-page entry,A,high,TY01,
TOYOTA_ESBG27,Toyota Industries,Electric Compressor,ESBG27 with gas injection,2017,Passenger_Car_BEV_xEV|Hybrid,,27,,,,,,,,,5.5,226,109,,Gas-injection compressor for Prius PHV / heat-pump heating,A,high,TY02,
TOYOTA_ESH34,Toyota Industries,Electric Compressor,ESH34,2025,Passenger_Car_BEV_xEV|Hybrid,,34,,,,,,,,,5.6,209,123,,Official current product-page entry,A,high,TY01,
TOYOTA_ESH41,Toyota Industries,Electric Compressor,ESH41,2025,Passenger_Car_BEV_xEV|Hybrid,,41,,,,,,,,,7.2,263,130,,Official current product-page entry,A,high,TY01,
MHI_DEV_2017,MHI Thermal Systems,Electric Compressor,2017 developed compressor,2017,Passenger_Car_BEV_xEV|Hybrid,,,,,,,,,,,6.1,211,123,,Official technical paper reports downsized/lightened compressor,A,medium,MH01,Commercial model code not disclosed in public paper
MHI_LOW_VIB_2021,MHI Thermal Systems,Electric Compressor,2021 low-vibration compressor,2021,Passenger_Car_BEV_xEV|Hybrid,,,,,,,,,,,,,,,~25% vibration reduction vs current compressor at same size/performance,B,medium,MH03,Commercial model code not disclosed in public abstract
MHI_NEW_2022,MHI Thermal Systems,Electric Compressor,2022 large-capacity new compressor,2022,Passenger_Car_BEV_xEV|Hybrid,,,,,,,,,,,,,,,New compressor with +53% refrigerating capacity and higher-voltage specification,A,medium,MH02,Commercial model code not disclosed in public paper
BOSCH_ERC_GENERIC,Bosch Mobility,Electric Refrigerant Compressor,Electric refrigerant compressor,2025,Passenger_Car_BEV_xEV|LCV,R134a/R1234yf,,,,,,,,,,,,,,"Official Bosch product page confirms refrigerants and thermal-management role, but not public variant table",B,low,BO01,
TCCI_QPE34_400,TCCI,High Voltage Electric Compressor,QPE34-400,2022,"LCV|MD_HD_Truck|Bus_Coach|Special_Purpose",R134a/R1234yf,34,210,455,1000,8500,8.5,,,,,,,CAN,"HV inline compressor",A,high,TC01,
TCCI_QPE34_850,TCCI,High Voltage Electric Compressor,QPE34-850,2022,"LCV|MD_HD_Truck|Bus_Coach|Special_Purpose",R134a/R1234yf,34,400,850,1000,8500,8.5,,,,,,,CAN/LIN,"HV inline compressor",A,high,TC01,
TCCI_QPE46_850,TCCI,High Voltage Electric Compressor,QPE46-850,2022,"LCV|MD_HD_Truck|Bus_Coach|Special_Purpose",R134a/R1234yf,46,400,850,1000,8500,11,,,,,,,CAN/LIN,"HV inline compressor",A,high,TC01,
TCCI_QPE60_850,TCCI,High Voltage Electric Compressor,QPE60-850,2022,"MD_HD_Truck|Bus_Coach|Special_Purpose",R134a/R1234yf,60,400,850,1000,8500,14.4,,,,,,,CAN/LIN,"HV inline compressor",A,high,TC01,
TCCI_QPE120_850,TCCI,High Voltage Electric Compressor,QPE120-850,2022,"MD_HD_Truck|Bus_Coach|Special_Purpose",R134a/R1234yf,120,400,850,1000,8500,29,,,,,,,CAN/LIN,"Largest published TCCI HV model in public sheet",A,high,TC01,
AOTECAR_E26A,Aotecar,eCompressor,E26A,2024,"Passenger_Car_BEV_xEV|Special_Purpose",R134a/R1234yf,27,72,630,1000,8500,6,,,,6.2,,,PWM/CAN/LIN,"Multi-voltage 27cc platform",A,high,AO02,"Official page lists supported nominal voltages 72/96/144/300/350/530/630V"
AOTECAR_E34FT,Aotecar,eCompressor,E34FT,2024,"Passenger_Car_BEV_xEV",R134a/R1234yf,34,180,470,800,8500,7.5,,,,6.0,,,CAN/LIN,"34cc passenger-car EV compressor",A,high,AO03,
AOTECAR_E34PN,Aotecar,eCompressor,E34PN,2024,"Passenger_Car_BEV_xEV",R134a/R1234yf,34,200,450,1000,8500,7.5,,,,6.6,,,PWM/CAN/LIN,"34cc passenger-car EV compressor",A,high,AO01,
AOTECAR_E66A,Aotecar,eCompressor,E66A,2024,"Bus_Coach|MD_HD_Truck|Special_Purpose",R134a/R1234yf,66,300,530,1000,4500,8,,,,11.5,,,PWM/CAN,"Larger 66cc compressor",A,high,AO01,"Official category page lists nominal voltages 300/350/530V"
HIGHLY_ETH45,Highly,New energy vehicle electric AC compressor,ETH45 800V,2024,"Passenger_Car_BEV_xEV",R134a/R1234yf,,800,800,,,,,,,,,,,"Awarded new-generation 800V compressor for passenger-vehicle heat-pump platforms",B,low,HI01,"Public news confirms model ETH45 and 800V; detailed datasheet not public"
GUCHEN_GC34A900,Guchen,Electric A/C Compressor,GC34A900,2024,Off_Highway|MD_HD_Truck|Special_Purpose,,34,,950,1000,6500,5.67,,,,,,,,900V construction-equipment / heavy-truck compressor,C,medium,GU01,Page states max voltage 950V; case article states 5670W at 6000rpm
SONGZ_SZB28,SONGZ,Electric Compressor,SZB28,2024,"Bus_Coach|MD_HD_Truck|Battery_TMS",R134a,28,220,450,1000,8000,8.2,,,,5.7,,,PWM/LIN/CAN,"Commercial vehicle and BTMS use",A,high,SZ01,
SONGZ_SZB33,SONGZ,Electric Compressor,SZB33,2024,"Bus_Coach|MD_HD_Truck|Battery_TMS",R134a,33,220,450,1000,8000,9.5,,,,5.8,,,PWM/LIN/CAN,"Commercial vehicle and BTMS use",A,high,SZ01,
SONGZ_SZB66,SONGZ,Electric Compressor,SZB66,2024,"Bus_Coach|MD_HD_Truck",R134a,66,280,800,1000,6000,15.2,,,,7.5,,,CAN,"Large-capacity commercial-vehicle compressor",A,high,SZ02,
SONGZ_SZC28,SONGZ,Electric Compressor,SZC28,2024,"Bus_Coach|MD_HD_Truck|Battery_TMS",R134a,28,60,750,1000,6000,6.1,,,,6.4,,,PWM/CAN,"Commercial vehicle A/C and BTMS",A,high,SZ03,
SONGZ_SZC33,SONGZ,Electric Compressor,SZC33,2024,"Bus_Coach|MD_HD_Truck|Battery_TMS",R134a,33,60,750,1000,6000,7.1,,,,6.5,,,PWM/CAN,"Commercial vehicle A/C and BTMS",A,high,SZ03,
SONGZ_SZA20,SONGZ,Electric Compressor,SZA20-H2W,2024,Bus_Coach|MD_HD_Truck|Special_Purpose,R134a/R407C,20,200,750,1000,6000,,,,,6.2,,,CAN,High-voltage SZA series,A,high,SZ04,
SONGZ_SZA28,SONGZ,Electric Compressor,SZA28-H2W,2024,Bus_Coach|MD_HD_Truck|Special_Purpose,R134a/R407C,28,200,750,1000,6000,,,,,6.5,,,CAN,High-voltage SZA series,A,high,SZ04,
SONGZ_SZA36,SONGZ,Electric Compressor,SZA36-H2W,2024,Bus_Coach|MD_HD_Truck|Special_Purpose,R134a/R407C,35,200,750,1000,6000,,,,,7.5,,,CAN,High-voltage SZA series,A,high,SZ04,
SONGZ_SZA42,SONGZ,Electric Compressor,SZA42-H2W,2024,Bus_Coach|MD_HD_Truck|Special_Purpose,R134a/R407C,41,200,750,1000,6000,,,,,7.5,,,CAN,High-voltage SZA series,A,high,SZ04,
SONGZ_SZA50,SONGZ,Electric Compressor,SZA50-H2W,2024,Bus_Coach|MD_HD_Truck|Special_Purpose,R134a/R407C,48,200,750,1000,6000,,,,,8.0,,,CAN,High-voltage SZA series,A,high,SZ04,
ESTRA_ESR33,ESTRA,Electric Compressor,ESR33,2020,Passenger_Car_BEV_xEV|Hybrid,R134a/R1234yf,33,150,440,600,9000,8.0,,,4.3,6.2,220,122,,Public one-page datasheet,A,high,ES01,
SUBROS_LOCAL_ECOMP,Subros,Electric Compressor,Localized electric compressor program for EV/hybrid,2026,Passenger_Car_BEV_xEV|Hybrid,,,,,,,,,,,,,,,Official award disclosure confirms local EV/hybrid e-compressor supply with DENSO and Toyota Industries technical assistance,B,low,SU01,No public product-variant datasheet yet
